FIPS5,yr,population
08073,2014,5504
08073,2015,5545
08073,2016,5549
08073,2017,5530
08073,2018,5610
08075,2014,21748
08075,2015,21771
08075,2016,21733
08075,2017,21665
08075,2018,21528
08077,2014,147312
08077,2015,148227
08077,2016,149838
08077,2017,151406
08077,2018,153207
08079,2014,703
08079,2015,744
08079,2016,757
08079,2017,759
08079,2018,776
08081,2014,12934
08081,2015,12938
08081,2016,13143
08081,2017,13095
08081,2018,13188
08083,2014,25516
08083,2015,25722
08083,2016,25999
08083,2017,26148
08083,2018,26158
08085,2014,40596
08085,2015,40576
08085,2016,41168
08085,2017,41785
08085,2018,42214
08087,2014,28120
08087,2015,28237
08087,2016,28143
08087,2017,28228
08087,2018,28558
08089,2014,18367
08089,2015,18210
08089,2016,18212
08089,2017,18403
08089,2018,18432
08091,2014,4574
08091,2015,4607
08091,2016,4788
08091,2017,4809
08091,2018,4833
08093,2014,16384
08093,2015,16736
08093,2016,17362
08093,2017,17920
08093,2018,18556
08095,2014,4395
08095,2015,4329
08095,2016,4283
08095,2017,4297
08095,2018,4286
08097,2014,17726
08097,2015,17948
08097,2016,17967
08097,2017,17952
08097,2018,17950
08099,2014,12089
08099,2015,11971
08099,2016,11967
08099,2017,12071
08099,2018,12164
08101,2014,161480
08101,2015,163111
08101,2016,164877
08101,2017,166426
08101,2018,167529
08103,2014,6625
08103,2015,6503
08103,2016,6469
08103,2017,6394
08103,2018,6336
08105,2014,11508
08105,2015,11356
08105,2016,11337
08105,2017,11306
08105,2018,11250
08107,2014,24083
08107,2015,24422
08107,2016,24787
08107,2017,25346
08107,2018,25733
08109,2014,6198
08109,2015,6251
08109,2016,6406
08109,2017,6643
08109,2018,6843
08111,2014,711
08111,2015,688
08111,2016,689
08111,2017,711
08111,2018,762
08113,2014,7740
08113,2015,7840
08113,2016,8023
08113,2017,8047
08113,2018,8191
08115,2014,2333
08115,2015,2375
08115,2016,2405
08115,2017,2334
08115,2018,2303
08117,2014,29330
08117,2015,30126
08117,2016,30676
08117,2017,31004
08117,2018,31007
08119,2014,23430
08119,2015,23377
08119,2016,24036
08119,2017,24638
08119,2018,25083
08121,2014,4732
08121,2015,4786
08121,2016,4836
08121,2017,4936
08121,2018,4909
08123,2014,276037
08123,2015,285033
08123,2016,294965
08123,2017,305274
08123,2018,314305
08125,2014,10182
08125,2015,10050
08125,2016,10080
08125,2017,10015
08125,2018,10020
09001,2014,944355
09001,2015,945301
09001,2016,944802
09001,2017,943457
09001,2018,943823
09003,2014,897493
